CNTR_ID,TOT_P_2018,TOT_P_2006,GRD_ID,TOT_P_2011,TOT_P_2021
DE,34038,36365,CRS3035RES50000mN3450000E4550000,33902,35852
DE,530904,491580,CRS3035RES50000mN2750000E4450000,493001,542671
RO,142038,154175,CRS3035RES50000mN2700000E5500000,147057,141858
ES,17766,19236,CRS3035RES50000mN1950000E2850000,19055,17322
EL,86680,91003,CRS3035RES50000mN2050000E5450000,77881,61763
FR,164942,162339,CRS3035RES50000mN2750000E3800000,166507,160237
DE,311915,334568,CRS3035RES50000mN3050000E4300000,314549,307150
SE,519,561,CRS3035RES50000mN4650000E4550000,529,541
SE,23,26,CRS3035RES50000mN4800000E4700000,26,18
CZ,398021,371999,CRS3035RES50000mN3000000E4650000,379416,413170
FI,151408,133623,CRS3035RES50000mN4400000E5100000,141802,153718
ES,98500,102402,CRS3035RES50000mN2350000E2850000,103116,97071
FR,63189,57586,CRS3035RES50000mN2900000E3200000,60263,69363
IT,163142,160151,CRS3035RES50000mN2300000E4550000,163643,163667
ES,753891,708233,CRS3035RES50000mN2100000E3400000,758353,772016
MD-RO,8638,14085,CRS3035RES50000mN2700000E5700000,10579,8423
SE,24580,24650,CRS3035RES50000mN3950000E4450000,23448,23710
UK,495174,480120,CRS3035RES50000mN3600000E3300000,478781,0
LT-LV,36858,59674,CRS3035RES50000mN3700000E5000000,42436,36553
AT-SI,220918,219055,CRS3035RES50000mN2600000E4650000,218564,222723
NO,152,237,CRS3035RES50000mN5200000E4850000,181,144
IT,767645,799166,CRS3035RES50000mN2350000E4200000,778591,737326
IT,98652,103620,CRS3035RES50000mN2050000E4800000,99116,93692
ES,20828,23676,CRS3035RES50000mN1850000E3000000,22980,19704
UK,13888,13304,CRS3035RES50000mN4000000E3500000,14408,0
NO,1395,1642,CRS3035RES50000mN5350000E4850000,1474,2760
UK,70084,68523,CRS3035RES50000mN3300000E3400000,69051,0
SE,9838,10586,CRS3035RES50000mN4500000E4750000,9957,10280
ES,20675,23837,CRS3035RES50000mN1700000E3200000,22579,20806
RO-UA,77426,76852,CRS3035RES50000mN2850000E5450000,80326,86843
NO,12980,12930,CRS3035RES50000mN4250000E4300000,13157,12831
FI,39188,35411,CRS3035RES50000mN4900000E5000000,37730,40237
FR,535967,503217,CRS3035RES50000mN2300000E3900000,519218,542701
FR,377628,366492,CRS3035RES50000mN2450000E3850000,372149,378671
FI-NO,2942,3164,CRS3035RES50000mN5200000E4900000,3047,2867
DE-DK,88318,88034,CRS3035RES50000mN3550000E4200000,88375,89125
BE-NL,1221414,1158988,CRS3035RES50000mN3150000E3950000,1181661,1247586
SE,25372,25406,CRS3035RES50000mN3800000E4650000,24066,24604
RO-UA,366951,403240,CRS3035RES50000mN2850000E5500000,358532,367025
DE-FR,277381,277200,CRS3035RES50000mN2850000E4100000,281568,274297
IT,429347,395103,CRS3035RES50000mN1650000E4800000,436733,403921
